question,answer
"Question: All are features of Abetalipoproteinemia, EXCEPT:
Choices:
A. Plasma levels of cholesterol and triglyceride are extremely low
B. Manifest in early childhood with diarrhea
C. Progressive pigmented retinopathy seen
D. Neurological manifestation as ataxia in first decade
Answer:",Neurological manifestation as ataxia in first decade
"Question: Abetalipoproteinemia is due to deficiency of -
Choices:
A. Lecithin Cholesterol Acyl Transferase
B. ATP Binding Cassette Transporter-1
C. Mitochondrial Triglyceride Transfer Protein
D. ApoCII
Answer:",Mitochondrial Triglyceride Transfer Protein
"Question: Small intestinal biopsy is diagnostic in :a) Whipple's diseaseb) Abetalipoproteinemiac) Celiac diseased) Agammaglobulinemia
Choices:
A. acd
B. bcd
C. abd
D. ab
Answer:",abd
"Question: Intermittent dysphagia is caused by -a) Strictureb) Reflux esophagitisc) Achalasia cardiad) Pharyngeal diverticululame) Diffuse esophageal spasm
Choices:
A. ab
B. bc
C. de
D. bd
Answer:",de
"Question: Following are radiological evidence of Achalasia cardia except not related -radiology
Choices:
A. Smooth narrowing of esophagus
B. Dilated touous esophagus
C. Absence of air in the fundus
D. Exaggerated peristalsis
Answer:",Exaggerated peristalsis
"Question: Which drug is used for Achalasia cardia-
Choices:
A. Nifedipine
B. Propranolal
C. Atenolol
D. Bethnecol
Answer:",Nifedipine
"Question: Achalasia is associated with increased risk of ...... malignancy:
Choices:
A. Squamous cell carcinoma esophagus
B. Adenocarcinoma esophagus
C. Bronchogenic carcinoma
D. Bronchial adenoma
Answer:",Squamous cell carcinoma esophagus
"Question: Which investigation is not required in diagnosis of Achalasia?
Choices:
A. Esophageal manometry
B. Barium swallow
C. Anti-neuronal antibodies
D. Enterocylsis
Answer:",Enterocylsis
"Question: About Achalasia Cardia: 1. Dysphagia is a presenting symptom 2. The cause is the absence of Auerbach's plexus 3. Esophagectomy is the treatment 4. Motility improving agents are used in treatment 5. Barium swallow shows irregular filling defects in lower esophagus
Choices:
A. 1,2,3 False & 4,5 True
B. 1,2,4 True & 3,5 False
C. 2,3,4 True &1,5 False
D. 1,3,5 True & 2,4 False
Answer:","1,2,4 True & 3,5 False"
"Question: Feature of Achalasia cardia (cardiospasm) include all of the following except-
Choices:
A. Increasing dificulty in swallowing more for liquids than for soilds
B. Regurgitant vomiting
C. Dilated & turtuous esophagus
D. Filling defect on barium study
Answer:",Filling defect on barium study
"Question: Barret's esophagus can lead to -a) Strictureb) Reflux esophagitisc) Peptic ulcerd) Achalasia
Choices:
A. ac
B. bc
C. ad
D. b
Answer:",ac
"Question: Odynophagia occurs ina) Achalasiab) Herpes esophagitisc) Monilial esophagitisd) Barret's oesophagus
Choices:
A. a
B. c
C. ac
D. bc
Answer:",bc
"Question: Achalasia cardia presents with all EXCEPT:
Choices:
A. Increased lower esophalgus sphincter tone
B. Normal peristalsis
C. Dilatation proximally
D. Malignancy
Answer:",Normal peristalsis
"Question: Intermittent dysphagia is caused by -a) Strictureb) Reflux esophagitisc) Achalasia cardiad) Pharyngeal diverticulme) Diffuse esophageal spasm
Choices:
A. ab
B. bc
C. cd
D. de
Answer:",de
"Question: Radiologic feature suggestive of Achalasia cardia is?
Choices:
A. Absence of gastric air bubble
B. Air fluid level in mediastinum
C. Sigmoid ecophagus
D. All of the above
Answer:",All of the above
"Question: Achalasia cardia due to:
Choices:
A. Degeneration of myenteric plexus due to toxin
B. Degeneration and absence of ganglion cells in auerbach' Plexus
C. Excess of Ganglion cells in auerbach Plexus
D. Degeneration of meissner's Plexus
Answer:",Degeneration and absence of ganglion cells in auerbach' Plexus
"Question: In which of the following condition does odynohagia occur? 1. Achalasia 2. Herpes esophagitis 3. Monilial esophagitis 4. Barrett's esophagus
Choices:
A. 1 & 2
B. 2 & 3
C. 1,2 & 3
D. 1,2,3 & 4
Answer:",2 & 3
"Question: Following are radiological evidence of Achalasia cardia Except
Choices:
A. Beak like appearance
B. Dilated touous esophagus
C. Presence of air-fluid level
D. Exaggerated peristalsis
Answer:",Exaggerated peristalsis
"Question: Which of the following disease causes Achalasia
Choices:
A. Kala azar
B. Chaga's disease
C. KFD
D. Schistosomiasis
Answer:",Chaga's disease
"Question: In which of the following conditions, uniform dilation of esophagus is seen -a)  Sclerodermab)  Achalasia cardiac) Dermatomyositisd) Trypanosoma cruzi infection
Choices:
A. c
B. bd
C. ab
D. ac
Answer:",bd
"Question: Radiologic feature suggestive of Achalasia cardia is-
Choices:
A. Absence of gastric air bubble
B. Air fluid level in mediastinum
C. Sigmoid ecophagus
D. All of the above
Answer:",All of the above
"Question: Intermittent dysphagia is caused by? 1. Stricture 2. Reflux esophagitis 3. Achalasia cardia 4. Pharyngeal diveiculum 5. Diffuse esophageal spasm
Choices:
A. 1,2 & 3
B. 2,3 & 4
C. 4 & 5
D. 3,4 & 5
Answer:",4 & 5
"Question: Gold standard Investigation for Achalasia cardia is :
Choices:
A. Esophageal manometry
B. Barium swallow
C. Endoscopy
D. Endoscopic ultrasound
Answer:",Esophageal manometry
"Question: Achalasia cardia
Choices:
A. Absence of nerves
B. Absence of muscles
C. Hyperophy of nerves
D. Hyperophy of muscles
Answer:",Absence of nerves
"Question: Mode of inheritance forAchondroplasia is -
Choices:
A. Autosomal dominant
B. Autosomal recessive
C. X-linked dominant
D. X- linked recessive
Answer:",Autosomal dominant
"Question: The features of Achondroplasia inlcude all,except -a) Defective headb) Mental retardationc)  Autosomal recessived) Familial
Choices:
A. bc
B. c
C. ac
D. ad
Answer:",bc
"Question: Most common inheritance of Achondroplasia is
Choices:
A. Sporadic
B. Autosomal dominant
C. Autosomal recessive
D. X-linked recessive
Answer:",Autosomal dominant
"Question: Achondroplasia shows which of the following type of inheritance
Choices:
A. Autosomal Dominant
B. Autosomal Recessive
C. X-Linked Dominant
D. X-Linked Recessive
Answer:",Autosomal Dominant
"Question: All of the following are features of Achondroplasia except:
Choices:
A. Bullet shaped veebra
B. Trident hand/starfish hand
C. Wimberger ring sign
D. Champagne glass pelvis
Answer:",Wimberger ring sign
